row col x_error y_error
13 14 0.4615447521 0.0545858145
13 15 0.3377467394 -0.1153393984
14 0 0.4250605106 -0.4380651712
14 1 -0.0971615314 -0.0645337105
14 2 0.3418030739 0.0823484659
14 3 0.1631813049 -0.1058293581
14 4 0.4749486446 0.1928663254
14 5 0.7532480955 0.0332503319
14 6 0.3840388060 0.0059089661
14 7 0.4849544764 -0.1013803482
14 8 0.6231144667 0.2877538204
14 9 0.3091719151 -0.1470768452
14 10 0.3693027496 0.1694355011
14 11 0.1615822315 0.0861301422
14 12 0.0859357119 0.2890683413
14 13 0.5126539469 -0.1762454510
14 14 0.2629929781 0.0085234642
14 15 0.2887989283 0.0715796947
15 0 0.3518410921 0.6343650818
15 1 0.2318004370 0.5553039312
15 2 0.6572381258 0.1811487675
15 3 0.3889217377 0.3439038992
15 4 0.5561505556 0.6631233692
15 5 -0.1377098560 0.3171975613
